lat,lon,sub_county,ward,feature,garbage/garbage_type,garbage/garbage_ownership,_capture_the_location_precision,garbage/other_garbage_type,garbage/other_garbage_ownership,comments,description,combined_description
-1.3296155,36.7798372,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,4.18,,,illegal dumping inside langata cemetery,illegal dumping inside langata cemetery,illegal dumping inside langata cemetery
-1.3286648,36.7795393,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,4.048,,,road reserve,road reserve,road reserve
-1.3276393,36.7790747,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,4.795,,,road reserve,road reserve,road reserve
-1.3270311,36.8841261,Embakasi South,Imara Daima,garbage point,illegal dumping,private,4.725,,,,,
-1.325655,36.8861595,Embakasi South,Imara Daima,garbage point,illegal dumping,public land,4.96,,,,,
-1.3255551,36.8876282,Embakasi South,Imara Daima,garbage point,collection point,other,4.379,,on the side of the road,,,
-1.324797,36.8855075,Embakasi South,Imara Daima,garbage point,collection point,other,2.52,,along the road,,,
-1.3244792,36.785162,Lang'ata,Mugumo-ini,garbage point,holding ground,public land,4.749,,,market,,market
-1.3231246,36.7878761,Lang'ata,Mugumo-ini,garbage point,collection point,community,4.426,,,cbo holding point,cbo holding point,cbo holding point
-1.3227459,36.8986237,Embakasi South,Pipeline,garbage point,collection point,community,2.708,,,Help prevent illegal dumping,,Help prevent illegal dumping
-1.3225333,36.7774999,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,4.724,,,road reserve,road reserve,road reserve
-1.3224448,36.8955352,Embakasi South,Pipeline,garbage point,holding ground,private,4.744,,,,,
-1.3215462,36.7779034,Lang'ata,Mugumo-ini,garbage point,illegal dumping,public land,4.322,,,road reserve,road reserve,road reserve
-1.3209663,36.8977393,Embakasi South,Pipeline,garbage point,illegal dumping,public land,2.0,,,Illegal dumping,,Illegal dumping
-1.3208981,36.882559,Embakasi South,Imara Daima,garbage point,illegal dumping,private,4.966,,,,,
-1.3207286,36.8946461,Embakasi South,Pipeline,garbage point,holding ground,private,4.987,,,,,
-1.3203926,36.8943654,Embakasi South,Kware,garbage point,holding ground,private,4.881,,,,,
-1.3203671,36.8831743,Embakasi South,Imara Daima,garbage point,illegal dumping,community,4.74,,,,,
