sub_county_x,ward_x,_Capture_the_location_latitude,_Capture_the_location_longitude,_Capture_the_location_precision_x,Feature_x,Garbage/Garbage_type_x,Garbage/Other_garbage_type_x,Garbage/Garbage_Ownership_x,Garbage/Other_Garbage_Ownership,OSM,Comments_x,sub_county_y,ward_y,_Capture_the_location_precision_y,Feature_y,Garbage/Garbage_type_y,Garbage/Other_garbage_type_y,Garbage/Garbage_Ownership_y,description,Comments_y
Embakasi Central,Kayole South,-1.2229159,36.8841798,4.755,garbage point,illegal dumping,,public land,,yes,,Embakasi Central,Kayole South,4.755,garbage point,illegal dumping,,public land,,
Starehe,Ngara,-1.2237196,36.8824665,4.11,garbage point,bin,,community,,yes,,Starehe,Ngara,4.11,garbage point,bin,,community,,
Dagoretti South,Ng'ando,-1.222095,36.8820345,2.34,garbage point,illegal dumping,,private,,yes,Sensitization of the neighbouring members,Dagoretti South,Ng'ando,2.34,garbage point,illegal dumping,,private,,Sensitization of the neighbouring members
Embakasi East,Mihang'o,-1.2224438,36.8819768,4.983,garbage point,bin,,private,,yes,,Embakasi East,Mihang'o,4.983,garbage point,bin,,private,,
Embakasi West,Umoja I,-1.2237655,36.882459,3.74,garbage point,bin,,private,,yes,Well placed in strategic place.,Embakasi West,Umoja I,3.74,garbage point,bin,,private,,Well placed in strategic place.
Embakasi East,Upper Savanna,-1.2227564,36.8819295,4.83,garbage point,holding ground,,community,,yes,Needs comments,Embakasi East,Upper Savanna,4.83,garbage point,holding ground,,community,,Needs comments
Embakasi East,Upper Savanna,-1.2227107,36.8818598,3.055,garbage point,bin,,public land,,yes,,Embakasi East,Upper Savanna,3.055,garbage point,bin,,public land,,
Mathare,Ngei,-1.222324,36.8819572,4.886,garbage point,holding ground,,community,,yes,There's need for proper Waste management practices,Mathare,Ngei,4.886,garbage point,holding ground,,community,,There's need for proper Waste management practices
Mathare,Kiamaiko,-1.2236543,36.8825406,4.02,garbage point,illegal dumping,,public land,,yes,Dumping done at night,Mathare,Kiamaiko,4.02,garbage point,illegal dumping,,public land,,Dumping done at night
Dagoretti South,Riruta,-1.2237206,36.8825131,4.049,garbage point,holding ground,,community,,yes,No waste segregation at the point,Dagoretti South,Riruta,4.049,garbage point,holding ground,,community,No waste segregation at the point,No waste segregation at the point
Dagoretti South,Uthiru/Ruthimitu,-1.2228555,36.8823834,4.75,garbage point,bin,,private,,yes,,Dagoretti South,Uthiru/Ruthimitu,4.75,garbage point,bin,,private,,
Dagoretti South,Uthiru/Ruthimitu,-1.2224502,36.881957,2.462,garbage point,bin,,private,,yes,Strategically placed,Dagoretti South,Uthiru/Ruthimitu,2.462,garbage point,bin,,private,,Strategically placed
Starehe,Ziwani/ Kariokor,-1.2250014,36.8826249,4.9,garbage point,bin,,private,,yes,Its in good condition,Starehe,Ziwani/ Kariokor,4.9,garbage point,bin,,private,,Its in good condition
Embakasi Central,Komarock,-1.2248887,36.8826315,4.814,garbage point,bin,,private,,no,Properly placed,Embakasi Central,Komarock,4.814,garbage point,bin,,private,,Properly placed
Embakasi Central,Kayole North,-1.2225141,36.8819507,4.713,garbage point,bin,,private,,yes,Well maintained,Embakasi Central,Kayole North,4.713,garbage point,bin,,private,,Well maintained
Embakasi Central,Matopeni/ Spring Valley,-1.2563213,36.9305049,4.325,garbage point,illegal dumping,,public land,,yes,,Embakasi Central,Matopeni/ Spring Valley,4.325,garbage point,illegal dumping,,public land,,
Embakasi Central,Matopeni/ Spring Valley,-1.2564786,36.9280428,4.911,garbage point,illegal dumping,,public land,,yes,The illegal dumping is along Spring valley/Matopeni Canal,Embakasi Central,Matopeni/ Spring Valley,4.911,garbage point,illegal dumping,,public land,,The illegal dumping is along Spring valley/Matopeni Canal
Embakasi West,Umoja I,-1.2888819,36.8900394,3.433,garbage point,collection point,,community,,yes,,Embakasi West,Umoja I,3.433,garbage point,collection point,,community,,
Embakasi West,Umoja I,-1.2861135,36.8884285,5.0,garbage point,illegal dumping,,community,,no,,Embakasi West,Umoja I,5.0,garbage point,illegal dumping,,community,,
Embakasi West,Umoja I,-1.2831811,36.8917351,4.62,garbage point,collection point,,community,,yes,,Embakasi West,Umoja I,4.62,garbage point,collection point,,community,,
Embakasi West,Umoja I,-1.2836186,36.8860834,2.46,garbage point,holding ground,,public land,,yes,,Embakasi West,Umoja I,2.46,garbage point,holding ground,,public land,,
Embakasi West,Umoja I,-1.2834257,36.8878042,4.112,garbage point,holding ground,,public land,,yes,,Embakasi West,Umoja I,4.112,garbage point,holding ground,,public land,,
Embakasi West,Umoja I,-1.2827391,36.8890729,4.6,garbage point,bin,,public land,,yes,,Embakasi West,Umoja I,4.6,garbage point,bin,,public land,,
Embakasi West,Kariobangi,-1.26204,36.8835639,4.0,garbage point,illegal dumping,,public land,,yes,,Embakasi West,Kariobangi,4.0,garbage point,illegal dumping,,public land,,
Dagoretti South,Ng'ando,-1.2939686,36.7540506,4.662,garbage point,illegal dumping,,public land,,yes,Dumping is usually rampant,Dagoretti South,Ng'ando,4.662,garbage point,illegal dumping,,public land,Dumping is usually rampant,Dumping is usually rampant
Dagoretti South,Ng'ando,-1.2954408,36.7555779,4.83,garbage point,illegal dumping,,public land,,yes,Rampant dumping along the road,Dagoretti South,Ng'ando,4.83,garbage point,illegal dumping,,public land,Rampant dumping along the road,Rampant dumping along the road
Dagoretti South,Ng'ando,-1.2965409,36.7561616,4.621,garbage point,illegal dumping,,public land,,yes,Dumping due to drainage clearing,Dagoretti South,Ng'ando,4.621,garbage point,illegal dumping,,public land,Dumping due to drainage clearing,Dumping due to drainage clearing
Dagoretti South,Ng'ando,-1.2981041,36.758262,3.79,garbage point,illegal dumping,,public land,,yes,Illegal businesses around the area,Dagoretti South,Ng'ando,3.79,garbage point,illegal dumping,,public land,,Illegal businesses around the area
Dagoretti South,Ng'ando,-1.2982297,36.7586461,4.004,garbage point,illegal dumping,,public land,,yes,Rampant dumpings,Dagoretti South,Ng'ando,4.004,garbage point,illegal dumping,,public land,Rampant dumpings,Rampant dumpings
Dagoretti South,Ng'ando,-1.2993294,36.7574613,4.655,garbage point,holding ground,,public land,,yes,Huge waste loads with frequent dumpings,Dagoretti South,Ng'ando,4.655,garbage point,holding ground,,public land,Huge waste loads with frequent dumpings,Huge waste loads with frequent dumpings
Dagoretti South,Ng'ando,-1.3001478,36.7576411,3.903,garbage point,illegal dumping,,public land,,yes,Dumping on major roads is rampant,Dagoretti South,Ng'ando,3.903,garbage point,illegal dumping,,public land,Dumping on major roads is rampant,Dumping on major roads is rampant
Dagoretti South,Ng'ando,-1.3072454,36.7334073,4.952,garbage point,illegal dumping,,private,,yes,Fencing required,Dagoretti South,Ng'ando,4.952,garbage point,illegal dumping,,private,,Fencing required
Dagoretti South,Ng'ando,-1.3034084,36.7323163,3.866,garbage point,illegal dumping,,public land,,yes,,Dagoretti South,Ng'ando,3.866,garbage point,illegal dumping,,public land,,
