index,panoid,lat,lon,year,month,img_path,angle,value,img_name
62980,--RL-phHNlZlg9bGS-7UKQ,-1.2769718683575,36.96316445200095,2018.0,2.0,-/-/,0,0.66904306,--RL-phHNlZlg9bGS-7UKQ_0
60444,--agTAuB3_qSd3Ml61UQBA,-1.269893251240529,36.92000067185521,2018.0,1.0,-/-/,0,0.62696016,--agTAuB3_qSd3Ml61UQBA_0
36245,--bF52zepYkkmotd5TYhDw,-1.251214654602605,37.02305401373125,2018.0,2.0,-/-/,0,0.67708063,--bF52zepYkkmotd5TYhDw_0
76138,--e5EXQUQ4DpdjyZSmZ0PQ,-1.36225330062372,36.92407184029224,2018.0,4.0,-/-/,0,0.7853548,--e5EXQUQ4DpdjyZSmZ0PQ_0
40846,--gztpPxVlgQtgUzGsxh7w,-1.219776937347566,36.89937664561516,2018.0,2.0,-/-/,0,0.66508794,--gztpPxVlgQtgUzGsxh7w_0
83289,--wMv2Mr3lFp5rQZiWfdQQ,-1.210215162055786,36.92984737636465,2021.0,9.0,-/-/,0,0.60129535,--wMv2Mr3lFp5rQZiWfdQQ_0
1209,--xhToNIyzfVg5QPbtFoLA,-1.283600769316996,36.76981085426763,2017.0,12.0,-/-/,0,0.82325834,--xhToNIyzfVg5QPbtFoLA_0
117269,--xhToNIyzfVg5QPbtFoLA,-1.283600769316996,36.76981085426763,2017.0,12.0,-/-/,0,0.82325834,--xhToNIyzfVg5QPbtFoLA_0
9872,-0R2JlSi_HYhN51Uth6clw,-1.312803152427507,36.81479840531434,2021.0,7.0,-/0/,0,0.6157093,-0R2JlSi_HYhN51Uth6clw_0
101098,-0b660rNzO9vO2l95mbKxw,-1.392179453076682,36.74665288554937,2018.0,1.0,-/0/,0,0.68516207,-0b660rNzO9vO2l95mbKxw_0
75923,-0cnvg5tcAN8drWb33uiGg,-1.363495314240752,36.93368990788675,2018.0,4.0,-/0/,0,0.74806535,-0cnvg5tcAN8drWb33uiGg_0
42925,-0rYjaI6vKXzhd2QXwbxUQ,-1.328296493063722,36.84077887745001,2018.0,2.0,-/0/,0,0.6840342,-0rYjaI6vKXzhd2QXwbxUQ_0
1206,-1GWYdUrPFiTs4FqbW_Ipw,-1.285079428951065,36.77026698083285,2017.0,12.0,-/1/,0,0.8299034,-1GWYdUrPFiTs4FqbW_Ipw_0
66231,-1UhHR3eBolbbQs7r7Qh3A,-1.364176337761711,36.94294260250778,2018.0,4.0,-/1/,0,0.79231924,-1UhHR3eBolbbQs7r7Qh3A_0
