index,panoid,lat,lon,year,month,img_path,ang_0,ang_90,ang_180,ang_270
16186,---kW5kLNFT2eKu77K0BSg,-1.337135331985666,36.73575084671425,2021.0,7.0,-/-/,0.0,0.0,0.0,0.0
16185,---kW5kLNFT2eKu77K0BSg,-1.337135331985666,36.73575084671425,2021.0,7.0,-/-/,0.0,0.0,0.0,0.0
28639,--3w2NTa6dWsDSlB7lQqiA,-1.304348226659954,36.74209456323717,2018.0,1.0,-/-/,0.0,0.0,0.0,0.0
28541,--5kqrbr7DiSKTlMm6mmZw,-1.279489351649856,36.71670147451432,2018.0,2.0,-/-/,0.0,0.65749097,0.0,0.0
93757,--6rir7WBjJoKcL5UgHzFw,-1.284360463194888,36.97282992750413,2018.0,2.0,-/-/,0.0,0.0,0.0,0.6839423
73927,--6yC0DbJTF8nxE2iXrbvQ,-1.490451585356166,36.95809862961428,2022.0,3.0,-/-/,0.0,0.0,0.0,0.0
65715,--90R2dBs0muGSrL_n1hHQ,-1.531158394116676,36.9436602421072,2021.0,9.0,-/-/,0.0,0.0,0.0,0.0
53729,--BGl7ygvQVvMWaApltb2w,-1.226825750985643,36.85192515583644,2018.0,1.0,-/-/,0.0,0.779233,0.7872966,0.0
120492,--BNQhnmt2k8251gJb-Gxg,-1.271222027041508,36.84874436024599,2021.0,7.0,-/-/,0.0,0.8269075,0.0,0.0
123541,--GXfcCNCQS8OfVKbb96Pw,-1.397332790186793,36.7582850204013,2018.0,5.0,-/-/,0.0,0.0,0.0,0.0
120318,--H-vVdRgrEmjKQPN3xOlA,-1.274169164680522,36.82424908116266,2018.0,2.0,-/-/,0.0,0.0,0.0,0.0
25194,--KqX2A1B6na2tfyqvOoZA,-1.319652370184367,36.77129824888708,2021.0,7.0,-/-/,0.0,0.0,0.0,0.7692279
125728,--NekUU9X4bzMlF9mcS51w,-1.308683550363517,36.68376925008519,2018.0,1.0,-/-/,0.0,0.0,0.0,0.0
92849,--Pko2c6bPkLt6ubJ1EC9Q,-1.299089257708342,36.80504761911303,2021.0,9.0,-/-/,0.0,0.0,0.0,0.0
62980,--RL-phHNlZlg9bGS-7UKQ,-1.2769718683575,36.96316445200095,2018.0,2.0,-/-/,0.66904306,0.0,0.0,0.0
42752,--UaXzXE5PClOrr-Uq9ulg,-1.309057850984705,36.86110236630256,2021.0,7.0,-/-/,0.0,0.0,0.0,0.0
125121,--VnKjIkq-lcWg9Z0dENzQ,-1.282841891592507,36.8832635626129,2021.0,7.0,-/-/,0.0,0.0,0.0,0.0
8435,--Yr6Hg1QRNjHrZgfVfq0g,-1.326971875802314,36.83773548789608,2021.0,7.0,-/-/,0.0,0.0,0.67530733,0.0
13030,--Z5DJlW6izPWiaYin8Juw,-1.314732032832351,36.87372219976163,2021.0,8.0,-/-/,0.0,0.63960564,0.79684645,0.0
