panoid,lat,lon,year,month,img_path,angle,value
-0wIGghq_wnmlSxQjvfs6Q,-1.260868273424994,36.73432770812977,2018.0,2.0,-/0/,0,0.6342887
-3l0SHoc2SjGiBF8t3kaaQ,-1.263649263106172,36.68726712874408,2021.0,8.0,-/3/,0,0.7123109
-_Zxs2WP-X8m7qj-REHpnQ,-1.288799526281745,36.79294342505977,2021.0,7.0,-/_/,0,0.652671
-dnEqpLrlgYAsG3FVFQ7Aw,-1.312480822664474,36.6844384722745,2021.0,8.0,-/d/,0,0.62500924
-gJRF24oKdAlQF_HCZp-Ww,-1.310656264946283,36.76098697757607,2021.0,7.0,-/g/,0,0.65418035
-iUberVTsT9M1KW-T5JZAg,-1.35069872157883,36.7386159560188,2021.0,7.0,-/i/,0,0.6082032
-qWeZ9Tt6xWTzeGv0L1Z-A,-1.221019046549566,36.81763375974656,2022.0,5.0,-/Q/,0,0.7558901
-xxW4ylzG299vowxeKpvYQ,-1.265278069020202,36.76224502376922,2021.0,7.0,-/x/,0,0.60477006
0Cl1ty8xnBUhc66lj6NArQ,-1.211389032382183,36.89706559149232,2018.0,2.0,0/C/,0,0.64392495
0Esn5VdDgrnwLq5QLT98Uw,-1.262652841045349,36.85270001158589,2018.0,2.0,0/e/,0,0.6240943
0IYvopVjl848MSO5aonogQ,-1.279338026963762,36.82889745720966,2021.0,8.0,0/i/,0,0.70930195
0uJOq262cA-P1hhicTy4qQ,-1.318176393889879,36.7788064436817,2021.0,7.0,0/U/,0,0.6340989
0vx6RscL5WxBA9Csp9XOIw,-1.380714914911998,36.82009410032605,2018.0,2.0,0/v/,0,0.65743566
11xXQ9TCvV8oNFMcLPoxng,-1.278752037337795,36.77118218468362,2021.0,7.0,1/1/,0,0.7053359
13jpvmgwj1ozcN5LJsSnyQ,-1.22794381998951,36.89299596051639,2021.0,9.0,1/3/,0,0.6689191
1EIdg83IpchDoCM5hD2RrA,-1.28450045172009,36.81897964216509,2021.0,7.0,1/e/,0,0.63572323
1G3gi3JBj0WQpMyNc5NNug,-1.268388581490495,36.82598401193605,2021.0,7.0,1/g/,0,0.6462119
1P8wKN5QuiF5nNTd2nynFQ,-1.319015242448304,36.67270769724421,2018.0,5.0,1/P/,0,0.7121714
1Zvo_3961hLXseSfzxowHg,-1.321631289025436,36.85792016084459,2021.0,8.0,1/Z/,0,0.74284613
1cuJ7rH2GwJNgsZYMXcqBQ,-1.310668811711563,36.76070771029273,2018.0,1.0,1/C/,0,0.69378346
1kB862rPRviWi_xhIs9aJg,-1.256487724620633,36.70393528199415,2021.0,8.0,1/K/,0,0.6096347
1mjT6U1te-GrtrKgxHMsBg,-1.463501124960345,36.93569512257712,2022.0,3.0,1/m/,0,0.6114964
1peBYD7ZyY7iYLB6ORXuOQ,-1.209186279946892,36.90161632276572,2021.0,9.0,1/P/,0,0.62468123
1t-_bAZcLO1dj4GKlwYLjg,-1.273321712701594,36.94852435903134,2021.0,8.0,1/t/,0,0.60043615
1yinqmMc-Y4MDN6MWeN18g,-1.248381812492534,36.68324132401199,2021.0,8.0,1/y/,0,0.63846046
26HO9j-97GJMV5VqKh0O4g,-1.390373163307754,36.75349095389295,2018.0,1.0,2/6/,0,0.67261505
29PHbQ9y46eMmkjCYe2LKA,-1.285720293889097,36.81099287064579,2021.0,9.0,2/9/,0,0.62436754
29jMLYr2bBWfPr5IVCB_Dg,-1.157258513722736,36.636464262197,2021.0,10.0,2/9/,0,0.63670516
2ByZCvmwkpzq_dKAL8QBZA,-1.256800578902298,36.66945401124639,2017.0,12.0,2/B/,0,0.6180807
2FvCvEji2ye6Yjv04EusTg,-1.208751226125065,36.87299082421525,2018.0,2.0,2/f/,0,0.69392055
2ipwaqfNk33inDycojhf3Q,-1.463734648268557,36.93524231579686,2022.0,3.0,2/i/,0,0.71972567
2tFYffcelKGiXqOp5AMkaA,-1.356063854326016,36.64542098676001,2018.0,4.0,2/t/,0,0.6116842
384qpSuuPwSnhtnfg36nKA,-1.337925896534131,36.88604039298602,2021.0,7.0,3/8/,0,0.6042142
3Ahpnot23EAaHqog6kUXng,-1.16355315104663,36.95914137095274,2018.0,5.0,3/a/,0,0.67561424
3HOwQFKmy1Ll4h3mq5n4aA,-1.370534131284068,36.93757365440263,2021.0,8.0,3/H/,0,0.60222596
3SYrhgQjLiZGvEJOZHuAZw,-1.292132569245009,36.82174789006926,2021.0,7.0,3/s/,0,0.68407214
3TIose-5WESLTPZh-sO4RQ,-1.271077923005043,36.82815536956885,2018.0,2.0,3/t/,0,0.6417424
3WsNev4dkzLVykTX2Q6Dsg,-1.219048451551453,36.97294428040686,2022.0,2.0,3/w/,0,0.6859442
3pHMDJmn5rp634Y-Qv26mw,-1.205667555244559,36.77065323539095,2021.0,9.0,3/P/,0,0.62258196
3pMvb6Dq0aB9tKT6GHuytA,-1.299553038197649,36.79085320889305,2021.0,7.0,3/P/,0,0.61792296
3tAhvdFDPDf8eeS_PdaImA,-1.251808318897367,36.83640349836867,2018.0,1.0,3/t/,0,0.64508736
3tGZJmvkxLaMm4e24gnD_w,-1.237237472516094,36.66602328889233,2021.0,8.0,3/t/,0,0.62071186
3uevBiKq8UAI_bfAo0MbRw,-1.279127397060601,36.96738242329989,2022.0,5.0,3/U/,0,0.6053572
4-4HcS9OPrXWVzdtevUKxA,-1.231882361027973,36.89445920891143,2021.0,9.0,4/-/,0,0.6215443
404mvmJEEQFvzutPcKIa8Q,-1.276429288530698,36.77681758223412,2021.0,8.0,4/0/,0,0.67766255
4FJ2Cr67MI6OGnWSIsZO2A,-1.318021709698832,36.89319676807605,2018.0,4.0,4/f/,0,0.62834036
4FNrT6s2VGq88mM8MW7ujg,-1.282387501072326,36.80720061390151,2021.0,9.0,4/f/,0,0.7721845
4OXzgv8Jt4JBnyKYdNZXfg,-1.143865800437832,36.81681902237187,2022.0,6.0,4/O/,0,0.6590812
4V11xBdm9pWN4uogYwH0ew,-1.30663833375569,36.83477237588554,2021.0,9.0,4/v/,0,0.6722132
4n_HVDMace5T-qpCNUNSqw,-1.295524912170336,36.81773718261174,2017.0,12.0,4/N/,0,0.6083221
4qmALWxaQSKBUUlUXiqFtg,-1.155349216375543,36.63698214349581,2021.0,10.0,4/Q/,0,0.6594041
4zJdikkLB1U1rRXq4B8I3w,-1.246533147615706,37.00079842580308,2021.0,7.0,4/Z/,0,0.6620569
5UaePHVgcYlo4lXfSWeF5g,-1.299348496616621,36.8097212757562,2021.0,7.0,5/U/,0,0.6701548
5beHKfbgcaPuqzgiicJ8PA,-1.238559332964482,36.72651143203702,2021.0,10.0,5/B/,0,0.6562848
5bk_tSToXsy1QiNYYcWkKw,-1.23657145444365,36.69581457667324,2021.0,8.0,5/B/,0,0.7271505
5bxGz6m5h-WgBU3v96qHlQ,-1.2378219142757,36.94165622965253,2021.0,7.0,5/B/,0,0.68808603
5gbfWW_YCqvRm-d-S7SBlA,-1.167172357622296,36.95986139328679,2021.0,9.0,5/g/,0,0.69699436
5hKEJ40-t0mZQcEm6aKIag,-1.217972556002579,36.92476013497803,2021.0,9.0,5/H/,0,0.62722313
5jfxoMOv5gJ2vo0BPObkPw,-1.464856590429358,36.95125493236385,2022.0,3.0,5/j/,0,0.6012392
5kABLnvqToHCfBAQobNmNQ,-1.382254999667737,36.93127601554218,2021.0,8.0,5/K/,0,0.6367747
65i3h8IqhWzNh00zrPSq9w,-1.265180638104285,36.91718049843119,2021.0,8.0,6/5/,0,0.68055713
6685N0lDkLyw0U6IC9MDUQ,-1.276816181623019,36.81719895496446,2021.0,7.0,6/6/,0,0.6186513
6CDyRP8H18YU89OvZIqi_g,-1.277108410459098,36.78666717539647,2022.0,4.0,6/C/,0,0.7521269
6S-yXtYflqDVNMv-c5aBOA,-1.338832431530807,36.72522456837458,2017.0,12.0,6/s/,0,0.71742
6dHsnkNo3L3GFVtEeTRWgA,-1.258881594089557,36.85959444826807,2021.0,7.0,6/d/,0,0.64122736
6e4e99LX0A4FdU_dCgQztQ,-1.287895354127191,36.95083961299186,2021.0,8.0,6/e/,0,0.68042547
6kBYr2ofuNm_ddNCOQEndg,-1.389694073159923,36.73787468948949,2022.0,2.0,6/K/,0,0.61629105
6qfAoaAnLsUoUTcYOo8c_Q,-1.275638143321693,36.8860930002451,2018.0,2.0,6/Q/,0,0.72695404
7-sC-RnyIlKX5nEDLmPD3w,-1.27246591557309,36.66814558285627,2021.0,8.0,7/-/,0,0.7428568
7CDwxo-Yfaq1H9KczoZKpw,-1.233618945111172,36.93526921691183,2021.0,9.0,7/C/,0,0.6726346
7EdTc4xmYFPnl_BT9jqcwA,-1.206066521863083,36.90924113357882,2018.0,2.0,7/e/,0,0.6536288
7OedOYbI8S7xobtq_v6Qng,-1.316927879792485,36.87973455340732,2021.0,8.0,7/O/,0,0.6844766
7Ub_C2DOp74-VnQEubSvuw,-1.330582408097826,36.73022434386591,2017.0,12.0,7/U/,0,0.649734
7h5J_xzMEGMXoPQrHezjWA,-1.292516911858286,36.78043050117599,2021.0,7.0,7/H/,0,0.609812
7zWq5-r5hhLPWOPj_-XlLg,-1.26436845155599,36.88369732103546,2018.0,2.0,7/Z/,0,0.6211346
84L6tsg9BedDRDjo0JSy_A,-1.244493492444,36.66618297955834,2017.0,12.0,8/4/,0,0.6040566
8BifOcDlC-3z32sXKDENFQ,-1.284122185110892,36.7022042380459,2018.0,1.0,8/B/,0,0.740224
8E6xaiQ70NxLJNh4lDS3IQ,-1.28324499390711,36.95031285507979,2021.0,8.0,8/e/,0,0.66297185
8F9Nmj1C08teg3qN3aZnlQ,-1.280154965848343,36.89612568949184,2021.0,7.0,8/f/,0,0.60132384
8HLiuspyDo0xx2YL5qsmWw,-1.166857295841605,36.72833558847586,2021.0,10.0,8/H/,0,0.8033557
8MXnqOpJi_NpaVtIEdw9Ew,-1.289266807396215,36.8187698425283,2021.0,7.0,8/m/,0,0.6997379
8gSgAE_yV_VIo5L2VWvfnQ,-1.184620794358962,36.88326208528562,2021.0,9.0,8/g/,0,0.6250105
8oUoIHx10pqRwcqu7i_cvQ,-1.179622401813516,36.88503945268804,2021.0,9.0,8/O/,0,0.68367463
8oVESyl-HGEUYKRXZw4sAw,-1.438739988218784,36.96728822869763,2021.0,9.0,8/O/,0,0.6708369
8qGLsKgYr0LbXaVOrR8EZw,-1.364226154262098,36.93140347459044,2018.0,4.0,8/Q/,0,0.6558715
8r4Z3KKRSre6VLJxcjvHjg,-1.277716617741745,36.80601785070795,2021.0,9.0,8/r/,0,0.66682965
8tIqoj0gvzgbyLbxeAKmJQ,-1.16311679332607,36.77190503484263,2021.0,11.0,8/t/,0,0.7167626
8uuu9xwWJcuExZIKUVvQOw,-1.228974503278947,36.6985744273919,2021.0,10.0,8/U/,0,0.7483931
8vBuWqe7yKjASdBpwkx_xg,-1.242669466199547,36.89459067088659,2018.0,2.0,8/v/,0,0.60138273
91diUL0Vc20F2QkwiustPw,-1.254860230611351,36.97410845654395,2018.0,2.0,9/1/,0,0.6362431
95_WP27gB_kT6RKzo6bXqw,-1.198966080726233,36.79954477072322,2018.0,5.0,9/5/,0,0.6145901
9D4cWea2WfYjSZCWhJJD6A,-1.347466327227182,36.7081168540174,2017.0,12.0,9/d/,0,0.61304265
9Du2HVj4CrjYp0KDyQr4DA,-1.27055939038495,36.85068152693032,2018.0,1.0,9/d/,0,0.6376534
9KGDHz9oOeRq7e6EshEC0w,-1.309516551633941,36.7028724718548,2021.0,8.0,9/K/,0,0.6933719
9QpLijtT9WwmSW9lWgDnsA,-1.300510515712048,36.77050404388188,2021.0,8.0,9/Q/,0,0.66524863
9aa1Ycot6OWUDig_aPOc1Q,-1.395069008304777,36.75796480079078,2022.0,2.0,9/a/,0,0.6671347
9sMmTwz6srFpeCXRHBrfHw,-1.293350641056098,36.86510710279427,2021.0,7.0,9/s/,0,0.6245751
9ydwJPddR4pusycPzfvNFg,-1.325393648138985,36.83630724663641,2021.0,7.0,9/y/,0,0.7249484
AEUCI7jlyWtUchxhcVszLw,-1.280583545175138,37.05244613123459,2018.0,2.0,a/e/,0,0.692163
ALGi17PRoJ0u3TA9nGYkOw,-1.250084519404675,36.89065253592042,2021.0,8.0,a/L/,0,0.623622
AW7uSiNLKDVsw165uqrASg,-1.255359129820016,36.78065906632651,2018.0,2.0,a/w/,0,0.6403074
Aj-2JvxFzptXn8mrPG_oWw,-1.285335858012197,36.89068191535802,2021.0,8.0,a/j/,0,0.62000597
AmV44sy5X6RW_2ydottHHQ,-1.496279338977898,36.95455108239075,2022.0,3.0,a/m/,0,0.6166749
AvPQt0fgoMNqA0UzG2lCgQ,-1.266672888358107,36.83972624136729,2021.0,8.0,a/v/,0,0.68997514
BHKPO3TchKILCeg7w0snsQ,-1.457719387051035,36.97875718867885,2021.0,9.0,B/H/,0,0.6858035
BHzcZx_6OsQBZwLfLLZpxA,-1.292401239868038,36.78287293107974,2021.0,7.0,B/H/,0,0.6898415
BI_wLb1MutdTF9yGyagdLA,-1.250556337488552,36.81953412149863,2021.0,7.0,B/i/,0,0.68124425
BOFAYq7l0PF7Lg2_Kn258w,-1.286835049766403,36.80547469019153,2021.0,9.0,B/O/,0,0.7215418
BWyB-MIYy1sj4Y-ZMeD4QA,-1.304433631753068,36.77352455854858,2018.0,1.0,B/w/,0,0.7322357
Ba8VqYMLy1Vqo90jDp8SKw,-1.215805368770506,36.75903537297707,2021.0,7.0,B/a/,0,0.7265951
BcyG1FHka5fnxS2bJZ2RFg,-1.276188227102715,36.82427577650532,2021.0,8.0,B/C/,0,0.6671568
BjPuotDxMHwsAJ8RoXzD-Q,-1.259076562802363,36.78263492139981,2021.0,7.0,B/j/,0,0.6537866
BzvYdIo_u10fl_A2vTAjKg,-1.277920636591392,36.99456966185287,2021.0,8.0,B/Z/,0,0.62608254
C8VVIsefoBiRXSI8sS2Aag,-1.352699155736943,36.94142480151067,2018.0,4.0,C/8/,0,0.6200715
CCvSkq9IsFJLx0Z82MoJdw,-1.227000900393007,36.87136231779105,2021.0,7.0,C/C/,0,0.60868037
CLw9b2PX9HlmVLtpCnu15A,-1.232035023631001,36.70923972654621,2021.0,10.0,C/L/,0,0.6016018
CQhP0Ksgn83-WTFDX1sx9w,-1.187378015115756,36.89392548072247,2021.0,9.0,C/Q/,0,0.66860646
