panoid,lat,lon,year,month,img_path,angle,value
--3w2NTa6dWsDSlB7lQqiA,-1.304348226659954,36.74209456323717,2018.0,1.0,-/-/,0,0.48414046
--BNQhnmt2k8251gJb-Gxg,-1.271222027041508,36.84874436024599,2021.0,7.0,-/-/,0,0.3139582
--gztpPxVlgQtgUzGsxh7w,-1.219776937347566,36.89937664561516,2018.0,2.0,-/-/,0,0.41113138
--xhToNIyzfVg5QPbtFoLA,-1.283600769316996,36.76981085426763,2017.0,12.0,-/-/,0,0.28427482
-0wIGghq_wnmlSxQjvfs6Q,-1.260868273424994,36.73432770812977,2018.0,2.0,-/0/,0,0.6342887
-17BE49M9f-tbbDIFUgjiQ,-1.222289308515703,36.92394026707675,2021.0,9.0,-/1/,0,0.38241208
-1GWYdUrPFiTs4FqbW_Ipw,-1.285079428951065,36.77026698083285,2017.0,12.0,-/1/,0,0.4775492
-1YIo4jNazV44g7Jez_6jQ,-1.289220892289153,37.05544531382763,2018.0,2.0,-/1/,0,0.27682957
-1YaBE-oCIwSInXk4l-cKw,-1.260925548278877,36.79214148128227,2017.0,12.0,-/1/,0,0.48137146
-1hMWOGsJdujoT6T8R62iw,-1.264119654211227,36.90094011896107,2018.0,2.0,-/1/,0,0.26463452
-25vHCg8AoICBODRZ9W47w,-1.210301479200682,36.88507605668132,2021.0,11.0,-/2/,0,0.44480357
-2QdlzZCwJEM1tO0AU9b4g,-1.274345985365857,36.88496583428761,2018.0,2.0,-/2/,0,0.37491527
-2kMxWolm1hdTcWQhz--dQ,-1.268584104553091,36.83824827157955,2018.0,2.0,-/2/,0,0.43026084
-2yq97x4RZlE45bDmKRGEA,-1.254996235469412,36.86316029986967,2021.0,7.0,-/2/,0,0.32451063
-35ucp7M37FHTjcBsdFSzQ,-1.246822297880078,36.69279953965578,2021.0,8.0,-/3/,0,0.2600345
-3EHJ_ZT6QE_t5RYg1yw_w,-1.28348021155218,36.78808207760172,2021.0,7.0,-/3/,0,0.31656915
-3QHa46KGy0uDjCIPuCsDg,-1.281769704545071,36.80723405240234,2021.0,9.0,-/3/,0,0.44576725
-3b2upZeoa_dm4iW-agQ-w,-1.303760258639168,36.77518555485369,2021.0,7.0,-/3/,0,0.2945897
-3jDFNYjXBZkKDn_L-lAZQ,-1.200332313884198,36.92810267306383,2021.0,9.0,-/3/,0,0.49812266
-3l0SHoc2SjGiBF8t3kaaQ,-1.263649263106172,36.68726712874408,2021.0,8.0,-/3/,0,0.7123109
-3rXwYm61hAesg9ytePpew,-1.286006930368635,36.89158241404043,2018.0,1.0,-/3/,0,0.2833898
-4Rci70cakpla7qHAQ6RtA,-1.310624328407082,36.79156099313937,2021.0,7.0,-/4/,0,0.32726443
-4gX4uGrqrHPg71TYvRoTw,-1.254247197994263,36.69124548322021,2021.0,11.0,-/4/,0,0.2794295
-4t_jy6A14XcNKqc8Mvisg,-1.259816793489039,36.87880698771772,2018.0,2.0,-/4/,0,0.26579067
-4wCYwIM4we8vFgi346X1Q,-1.269701200540202,36.83909652490716,2018.0,2.0,-/4/,0,0.44639984
-4yDEVpyoSJ_mg-MVcvIzA,-1.354662968681995,36.94282451235549,2018.0,4.0,-/4/,0,0.48531187
-5H4t-WkurrhAGwMcSNvJQ,-1.276104821008609,36.78582062080758,2021.0,7.0,-/5/,0,0.29460713
-5HilXXyL-qKt1wv8n1zRg,-1.307061381435912,36.80963295833219,2021.0,7.0,-/5/,0,0.5866415
-5sPMSwC0QiEk7S2d_7C9Q,-1.342445311969809,36.76736758246918,2022.0,4.0,-/5/,0,0.2802539
-6SOXQcTZXuAv52dmWWkSw,-1.325439123842022,36.83593907438843,2021.0,7.0,-/6/,0,0.45628247
-6XpKg3GExYcRzDK4rDYPw,-1.315023618992088,36.8000776218536,2018.0,1.0,-/6/,0,0.26296765
-7-RMmuPgyQqXMfuun2o4A,-1.299519873283905,36.79500219243489,2021.0,7.0,-/7/,0,0.43357742
-7AVs8e3w630vyMiXIPsRA,-1.209547665158162,36.92221511037821,2021.0,9.0,-/7/,0,0.2566613
-7jlclVehDfhu8-p15rB_w,-1.267111636892014,36.7983512031209,2021.0,8.0,-/7/,0,0.38380474
-7kI1ilhtCDwfY4lllvOQg,-1.283098957265596,36.83331869924225,2021.0,8.0,-/7/,0,0.28461632
-8IstW1ndLrDt-mO-OrvKg,-1.237534202393389,36.89849872604608,2018.0,2.0,-/8/,0,0.2793956
-8Ju3S-F50wrx-N9ilHdkw,-1.33723908762887,36.89388920938561,2021.0,10.0,-/8/,0,0.43358746
-8YdieXf8v7fHVFzIqdUdw,-1.378286753073125,36.74544021084903,2017.0,12.0,-/8/,0,0.2885706
-8_siHF0rjLw0NMzTWpJ3g,-1.29940874980881,36.798763687013,2018.0,3.0,-/8/,0,0.33636245
-8eIrmWEP_aZ7ixB9VIueg,-1.280919735775949,36.85066830720485,2021.0,8.0,-/8/,0,0.39101696
-8hBsb_UsQnDtjS1V6mYvA,-1.281426962112789,36.89980169309744,2018.0,1.0,-/8/,0,0.51731455
-997EmNYPzvePfvUwFaWEw,-1.277183449679976,36.91243916657259,2018.0,1.0,-/9/,0,0.5147767
-9AImT7TQY5oTJAZXCYpWw,-1.193950540934754,36.72975111090401,2022.0,2.0,-/9/,0,0.3816446
-9isEg7WnWG1QPQT_oZvsw,-1.265922912023691,36.79041019315474,2021.0,8.0,-/9/,0,0.34037668
-9vH-ZcJBi7KUqy356UZSA,-1.251881592687786,36.79441531727453,2017.0,12.0,-/9/,0,0.29767826
-A1iG1oZLdiEWtfmExSCyg,-1.204964022925535,36.77153169191836,2021.0,9.0,-/a/,0,0.3802282
-AFKE0J573eJlXvrrmS5kw,-1.168335004929973,36.82988700529685,2018.0,5.0,-/a/,0,0.32286918
-AchFibRFl5GP5zLigHmhg,-1.298071608187958,36.89129092055088,2018.0,1.0,-/a/,0,0.26549435
-Ax2XQdlEuhqrtR_r7ryew,-1.280056979122055,36.91102566630909,2021.0,8.0,-/a/,0,0.2705647
-B28FqYgw7ft1_iGNP-xzg,-1.302127553405644,36.84942449285635,2018.0,1.0,-/B/,0,0.54388386
-BIEqrldnlL_HDs6SdQlJQ,-1.236339143409652,36.87614709681554,2021.0,7.0,-/B/,0,0.27960536
-BMQyWlnDEE-nbDVOMUKEg,-1.199011492559402,36.90495966968859,2018.0,2.0,-/B/,0,0.26375383
-BUcL6Mn2lxNHyRQ-3wTVQ,-1.201103046318066,36.91929666408732,2021.0,12.0,-/B/,0,0.2859561
-BWKa6hMafJAziI5HAxYgA,-1.236066913474523,36.92835924244696,2021.0,9.0,-/B/,0,0.37517214
-Bc4rR2pRSnxxyUOFnNLMg,-1.241387864969562,36.79250428405806,2021.0,7.0,-/B/,0,0.49649578
-C-7W2xs2lOogSMLmqHhfQ,-1.266652634744629,36.84018760298608,2021.0,8.0,-/C/,0,0.39211005
-C5ZC3Jg3RTpm0N77GO6HQ,-1.2163580718561,36.8103073721533,2018.0,2.0,-/C/,0,0.35294858
-CQQqjzgoLawx3LN307U4g,-1.273068055480286,36.84164286873177,2021.0,7.0,-/C/,0,0.5446512
-CY-w4c6DW_tetOxMX4FSg,-1.227666727195504,36.92304270832892,2018.0,2.0,-/C/,0,0.3255695
-CYkw-6j_KLDTP1DeavtZg,-1.276441087763751,36.77436344524633,2021.0,8.0,-/C/,0,0.42914668
-D3oNrV2ixtwK0gGFlcpTg,-1.349366184867605,36.93347682650669,2018.0,4.0,-/d/,0,0.31466946
-D8ZtnWxp2b5NCDN5aKEAQ,-1.28606445108934,36.82228000606414,2021.0,8.0,-/d/,0,0.28138697
-DCJvioVoo1yFz-YDSfGiw,-1.365377269783367,36.73737667001208,2021.0,7.0,-/d/,0,0.29628617
-ERgNXhgHguIc65CAv1ebg,-1.184060102857269,36.79621980795155,2022.0,2.0,-/e/,0,0.26024058
-Fw6SBCdlT0VDAWLQcL2sw,-1.26190278381652,36.80247980016789,2021.0,9.0,-/f/,0,0.48375726
-GuffXkciYy0Fk-DryjLMg,-1.260565290001556,36.78871691341093,2017.0,12.0,-/g/,0,0.38004443
-HCPm9uGbTfUuFYP7S7WqA,-1.210993113204854,36.96157951403735,2021.0,9.0,-/H/,0,0.25939503
-HEB_u_ZPk9mELxyAcCGNw,-1.286155283763885,36.89568109048312,2021.0,8.0,-/H/,0,0.48886982
-HPeP6rd8-vM3Li8sSdvkA,-1.294350511748259,37.0468291679781,2021.0,10.0,-/H/,0,0.51954156
-HZxumvYPYBfpbZrYp875g,-1.307217890652006,36.75865020883124,2021.0,7.0,-/H/,0,0.3456837
-Hc6wxtTmqxzoQ-StA1ZiQ,-1.250136620055798,36.78169536742654,2021.0,7.0,-/H/,0,0.47553638
-HzV63cYDcOUi-4P66DEKA,-1.321911037488676,36.82891174858626,2021.0,9.0,-/H/,0,0.33182243
-IMlKszChg08pW8GMgiLQg,-1.382796566971757,36.71941621463987,2018.0,1.0,-/i/,0,0.51933897
-IWRLSUH5z4_XZNFVKof6g,-1.263481488949969,36.86239294292968,2022.0,4.0,-/i/,0,0.50024366
-IhmoQAeFCsEfTAhT6_CtA,-1.278812319793665,36.79467309261403,2017.0,12.0,-/i/,0,0.31218147
-IkzhnjLXsls-NJADdhF5A,-1.297287936338854,36.84351863358985,2021.0,9.0,-/i/,0,0.40146193
-IzYDgxkaWvTDi0hF0y59g,-1.283801154282566,36.839560107774,2018.0,2.0,-/i/,0,0.3251296
-J5OwXocvZk1ki2FIQFHFA,-1.323790907613827,36.70307618242099,2021.0,7.0,-/j/,0,0.420128
-J6WL46lWNnQ-JtTgloSLQ,-1.147208209574739,36.83717498595612,2021.0,11.0,-/j/,0,0.31974173
-JGElsi9AbfzcAe-PGS8YQ,-1.314724493529598,36.80041663970999,2018.0,3.0,-/j/,0,0.27161056
-JKKdU99gSqQ0jGbPqC7EA,-1.249854630526792,36.66580169694836,2017.0,12.0,-/j/,0,0.45562318
-JMfjct1pFWdSFfuCZ4Fyg,-1.233275961405298,36.91820938455507,2018.0,2.0,-/j/,0,0.44666123
-Jdic3p3huD5gf7YvyaDJg,-1.305035094531313,36.78780324120024,2018.0,3.0,-/j/,0,0.34379044
-JqIiD5OyL2V-i0W70WcYg,-1.272108804176599,36.96757614079914,2021.0,8.0,-/j/,0,0.2674816
-Ju6sR5LKCxh1HrkGIOo6g,-1.490736209809576,36.95743049008129,2022.0,3.0,-/j/,0,0.2643835
-K6yF9R4nFE1uC4JI2R7qw,-1.332660241143283,36.71691394888786,2018.0,1.0,-/K/,0,0.32383966
-KM80-yRm39sgnJLXhrFbA,-1.374392719045967,36.64507969671298,2018.0,4.0,-/K/,0,0.2801964
-Kejwouwvd70at49dYJVgg,-1.281419768325238,36.7433055657936,2021.0,8.0,-/K/,0,0.42492262
-LAH6W_lt_L4zqiomNxWGQ,-1.174132286795753,36.92628000389689,2018.0,2.0,-/L/,0,0.45348445
-LQK4S6UsEoNUiwRzwWN9g,-1.171491419650444,36.91797025308489,2018.0,2.0,-/L/,0,0.29510096
-MI75p2A3q0uvkf5pwFQGA,-1.242357367796266,36.84443095971697,2021.0,7.0,-/m/,0,0.40548366
-MSy0eYV10SzqfoQ4uDLoA,-1.303139335824782,36.7225308502513,2018.0,1.0,-/m/,0,0.43633723
-MTk-ixeyckSia0qqxbV6w,-1.148388168582473,36.96251128004371,2022.0,1.0,-/m/,0,0.3901578
-Mievqc_MHCk_K0yZw7bjA,-1.378371448656635,36.74611372960133,2021.0,7.0,-/m/,0,0.27549124
-Mvy-pS9ULK5jJkdlcFJKA,-1.303084891177562,36.81689468045593,2017.0,12.0,-/m/,0,0.4286031
-MwB1ECX-XV5IabA7eCyxg,-1.340382793908771,36.89841330495371,2021.0,10.0,-/m/,0,0.31857163
-NHDUeWvW5iI0MWnB9KB4g,-1.289265031637293,36.75309540140604,2018.0,2.0,-/N/,0,0.3253351
-NM_tAaAltPilVp3QLH7-Q,-1.30535182570293,36.6933701037574,2018.0,1.0,-/N/,0,0.28517255
-NYVINAjfYJi8QwDwVquAA,-1.39647063633756,36.76113692813538,2018.0,7.0,-/N/,0,0.25241652
-Ngn-e8FUHkkFNg4_jnyTw,-1.222002625959562,36.89359928423238,2018.0,2.0,-/N/,0,0.30539218
-NwDlVsOXWjkqI7fXQkwhQ,-1.305779210577849,36.69954506549413,2018.0,1.0,-/N/,0,0.26196226
-O4JPUBGKesNtwbtQ7TP5w,-1.304140178725809,36.67304968407583,2018.0,1.0,-/O/,0,0.37976637
-OQrPhyo5HP5Pc_mfvwcWQ,-1.317363717615989,36.71175171093924,2018.0,1.0,-/O/,0,0.34593573
-OWVx2UzkuwY2phgvaibxw,-1.229623934188661,36.92645849148089,2018.0,2.0,-/O/,0,0.2510152
-OdlrNxOD4qjc7w09RujCQ,-1.210095648882295,36.7714081480396,2021.0,7.0,-/O/,0,0.28346118
-OjR3WPEUhW6OB5HNngjcg,-1.390962878566075,36.77202824910232,2022.0,2.0,-/O/,0,0.32319707
-Op1pNEiKhaX1vwc4TCvoQ,-1.328072358798392,36.68989810337798,2021.0,7.0,-/O/,0,0.2651414
-P2BtNuK6PqLNMaf1LnKsA,-1.323772811982616,36.8306105135878,2021.0,9.0,-/P/,0,0.40175363
-PswXF9Xh4QnOXr6oZtI2w,-1.296578018663045,36.87907899607102,2021.0,7.0,-/P/,0,0.4030354
-Q8oPCGtyWuo5zKhnowasQ,-1.239120768245876,36.66560068318181,2018.0,2.0,-/Q/,0,0.26967162
-QcAIoFXYF71CrFkr2HI2A,-1.284341400730236,36.77951237062106,2018.0,2.0,-/Q/,0,0.42561924
-RYGs_A3OsoGEUI57JLdKQ,-1.200992745676581,36.8905771177014,2021.0,9.0,-/r/,0,0.25730455
-Rg1vyQLH4yv5hykm4kvHQ,-1.263196957537686,36.97720365504518,2018.0,2.0,-/r/,0,0.31038177
-Rsszsa4b7ZwT5wFx7DcAQ,-1.354053990191123,36.75043467852667,2021.0,9.0,-/r/,0,0.25506523
-Rusmn9hI2gV7UroHd80Cg,-1.257213228349075,36.94066892356309,2021.0,8.0,-/r/,0,0.54674464
-SNrdYjUNIIpu-l19IEB6Q,-1.252779118302822,36.87171997008134,2018.0,2.0,-/s/,0,0.3320472
-SPY5pIA84rDl66a2FCclw,-1.381825175619356,36.92818814160902,2021.0,8.0,-/s/,0,0.33770594
-Sa1l2WwRh_Yu7UvacS8Rw,-1.208196583113679,36.89711712409853,2018.0,2.0,-/s/,0,0.29989532
-Sa_ry5XUR-clQpzy8g0ww,-1.205753824426705,36.84135306611246,2021.0,8.0,-/s/,0,0.40208665
-Sevw1BToE7e3vK7S2liWA,-1.271252114522738,36.88095347889631,2018.0,2.0,-/s/,0,0.30616465
-Shy6VSMMAzTzDSRaKzCBQ,-1.355843876870398,36.65613299651779,2018.0,4.0,-/s/,0,0.3290995
-SurHnpdmeeWQ5OdsbDs7g,-1.207908837599711,36.88884674480425,2018.0,2.0,-/s/,0,0.25507203
-SwM3dEZaAuyioaaCbmp7g,-1.276890546552389,36.90914489507368,2018.0,1.0,-/s/,0,0.2754858
-T2bbhoeR30ZexdhHG0DQA,-1.335447116085026,36.73265165094524,2021.0,8.0,-/t/,0,0.26368698
-T35gBi_fjMawiZdB-mGFQ,-1.286486275844749,36.82321534792865,2017.0,12.0,-/t/,0,0.3398265
-TcSjR7j5sK_0BdhWRwYaA,-1.282019185437452,36.7062214488621,2017.0,12.0,-/t/,0,0.47743428
-Tm9BB__cL87GjVbDos4mQ,-1.257233249921551,36.68082532528527,2021.0,8.0,-/t/,0,0.54415977
-U4O_0iNkjylebsBtOopGg,-1.284004883990021,36.73054912435396,2017.0,12.0,-/U/,0,0.415998
-U8G7Fo3um8TvyZ3Y9J_EQ,-1.28430760983297,36.89679939382319,2018.0,1.0,-/U/,0,0.42730215
-UDjYeAVAtbcbAMsdHW0Mw,-1.195483465469752,36.94185846214982,2021.0,9.0,-/U/,0,0.34405315
-UKK7JxwyFijVyhcVOxehQ,-1.318371169500554,36.77927845961111,2021.0,10.0,-/U/,0,0.3700541
-VPkPfxctZZWz3QF-CFN2Q,-1.192809050562599,36.7470741266727,2021.0,12.0,-/v/,0,0.31266347
-Va2a3GMOPPpMFrV7jngZA,-1.216464596474627,36.82575148002524,2022.0,1.0,-/v/,0,0.255849
