panoid,lat,lon,year,month,ang_0,ang_90,ang_180,ang_270,img_path
---kW5kLNFT2eKu77K0BSg,-1.337135331985666,36.73575084671425,2021.0,7.0,0.0,0.0,0.0,0.0,-/-/
--3w2NTa6dWsDSlB7lQqiA,-1.304348226659954,36.74209456323717,2018.0,1.0,0.48414046,0.0,0.0,0.0,-/-/
--5kqrbr7DiSKTlMm6mmZw,-1.279489351649856,36.71670147451432,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--6rir7WBjJoKcL5UgHzFw,-1.284360463194888,36.97282992750413,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--6yC0DbJTF8nxE2iXrbvQ,-1.490451585356166,36.95809862961428,2022.0,3.0,0.0,0.0,0.0,0.0,-/-/
--90R2dBs0muGSrL_n1hHQ,-1.531158394116676,36.9436602421072,2021.0,9.0,0.0,0.0,0.0,0.0,-/-/
--BGl7ygvQVvMWaApltb2w,-1.226825750985643,36.85192515583644,2018.0,1.0,0.0,0.0,0.0,0.0,-/-/
--BNQhnmt2k8251gJb-Gxg,-1.271222027041508,36.84874436024599,2021.0,7.0,0.3139582,0.3593916,0.4332171,0.0,-/-/
--GXfcCNCQS8OfVKbb96Pw,-1.397332790186793,36.7582850204013,2018.0,5.0,0.0,0.0,0.0,0.0,-/-/
--H-vVdRgrEmjKQPN3xOlA,-1.274169164680522,36.82424908116266,2018.0,2.0,0.0,0.3005868,0.0,0.38502547,-/-/
--KqX2A1B6na2tfyqvOoZA,-1.319652370184367,36.77129824888708,2021.0,7.0,0.0,0.0,0.0,0.0,-/-/
--NekUU9X4bzMlF9mcS51w,-1.308683550363517,36.68376925008519,2018.0,1.0,0.0,0.0,0.0,0.0,-/-/
--Pko2c6bPkLt6ubJ1EC9Q,-1.299089257708342,36.80504761911303,2021.0,9.0,0.0,0.0,0.0,0.0,-/-/
--RL-phHNlZlg9bGS-7UKQ,-1.2769718683575,36.96316445200095,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--UaXzXE5PClOrr-Uq9ulg,-1.309057850984705,36.86110236630256,2021.0,7.0,0.0,0.0,0.0,0.0,-/-/
--VnKjIkq-lcWg9Z0dENzQ,-1.282841891592507,36.8832635626129,2021.0,7.0,0.0,0.0,0.0,0.0,-/-/
--Yr6Hg1QRNjHrZgfVfq0g,-1.326971875802314,36.83773548789608,2021.0,7.0,0.0,0.0,0.0,0.0,-/-/
--Z5DJlW6izPWiaYin8Juw,-1.314732032832351,36.87372219976163,2021.0,8.0,0.0,0.37815282,0.34507456,0.39084262,-/-/
--_PQ_46gdNLD8kFLu3dZA,-1.291485586342368,36.77459844031581,2017.0,12.0,0.0,0.2651771,0.0,0.34400627,-/-/
--agTAuB3_qSd3Ml61UQBA,-1.269893251240529,36.92000067185521,2018.0,1.0,0.0,0.0,0.0,0.0,-/-/
--bF52zepYkkmotd5TYhDw,-1.251214654602605,37.02305401373125,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--e5EXQUQ4DpdjyZSmZ0PQ,-1.36225330062372,36.92407184029224,2018.0,4.0,0.0,0.0,0.0,0.0,-/-/
--gFtNl0umLxNiXmhewt_g,-1.275433830946203,36.83292932257088,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--gztpPxVlgQtgUzGsxh7w,-1.219776937347566,36.89937664561516,2018.0,2.0,0.41113138,0.0,0.0,0.0,-/-/
--jXBTE9JidlyWViv0cIRg,-1.184530716277031,36.74905975753007,2022.0,2.0,0.0,0.0,0.0,0.0,-/-/
--ja_d2098556Iez6SqEWA,-1.188182292938045,36.68573764482309,2022.0,2.0,0.0,0.0,0.0,0.0,-/-/
--jnAXTucJuOs8U_pqLwQw,-1.273378586265407,36.67576544006997,2021.0,8.0,0.0,0.0,0.29000655,0.0,-/-/
--wMv2Mr3lFp5rQZiWfdQQ,-1.210215162055786,36.92984737636465,2021.0,9.0,0.0,0.0,0.0,0.0,-/-/
--xWUEpjxSBypra3B-JWLg,-1.269489735299908,36.88405154834214,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--xhToNIyzfVg5QPbtFoLA,-1.283600769316996,36.76981085426763,2017.0,12.0,0.28427482,0.4108495,0.37825242,0.0,-/-/
--xk3JqAW8t8P3w0Sc62VQ,-1.282473294906324,36.97891956476535,2018.0,2.0,0.0,0.0,0.0,0.0,-/-/
--yKF60Z0Bl5XVGlH24MwQ,-1.479788538270465,36.95732488592475,2022.0,3.0,0.0,0.0,0.0,0.28448552,-/-/
--yW8QTxS7ncBYldRnjcvQ,-1.302910646083662,36.81291468071426,2021.0,9.0,0.0,0.0,0.0,0.0,-/-/
-00pwf8xf8NyTCvrzBT7MA,-1.209757594093773,36.96822180743514,2021.0,9.0,0.0,0.0,0.0,0.0,-/0/
-04Jnaj5uK15CL6FW1gOjg,-1.304362411103086,36.7282635409445,2021.0,8.0,0.0,0.0,0.4312899,0.0,-/0/
-093mzOzbszbq9yOGfkinA,-1.262025282549971,37.03406061847338,2018.0,2.0,0.0,0.0,0.0,0.0,-/0/
-0B7f1rA_26W9tYVayxbnA,-1.281729363656676,36.90197497656933,2018.0,2.0,0.0,0.0,0.34278578,0.0,-/0/
-0ETIA8sAyL3xCtIp8eDnA,-1.183327718379358,36.88649333943211,2021.0,9.0,0.0,0.564955,0.44404966,0.0,-/0/
-0HhGC8pWacmuyYcLA-qZQ,-1.206419198952394,36.78149820093858,2021.0,7.0,0.0,0.0,0.0,0.0,-/0/
-0I0oRPaRdyY1Ml27C3iQg,-1.212575363172559,36.90282733643614,2021.0,12.0,0.0,0.0,0.0,0.0,-/0/
-0L6sXbGos1Ba2zrq6oyow,-1.337567941376941,36.87314900223656,2021.0,7.0,0.0,0.0,0.0,0.39937705,-/0/
-0N4ozAosxCP5nx8I9l5hg,-1.296185349508825,36.8611390643093,2021.0,7.0,0.0,0.0,0.0,0.36133605,-/0/
-0QnRJ_T83JpqPiRx7lB5Q,-1.227312170573066,36.93249629969566,2021.0,9.0,0.0,0.0,0.0,0.0,-/0/
-0R2JlSi_HYhN51Uth6clw,-1.312803152427507,36.81479840531434,2021.0,7.0,0.0,0.28556842,0.0,0.28542584,-/0/
-0ZYMBryb_OVDitKI1MSKg,-1.283230348520458,36.98264845967609,2018.0,2.0,0.0,0.0,0.0,0.0,-/0/
-0_gZvvTxCxbRNmGootr3g,-1.252538649644181,36.88337239230822,2018.0,2.0,0.0,0.0,0.68022156,0.66787165,-/0/
-0b660rNzO9vO2l95mbKxw,-1.392179453076682,36.74665288554937,2018.0,1.0,0.0,0.0,0.0,0.0,-/0/
-0cnvg5tcAN8drWb33uiGg,-1.363495314240752,36.93368990788675,2018.0,4.0,0.0,0.0,0.0,0.33781254,-/0/
-0dr-CIKe5emWeHBMV0DtQ,-1.153733151706084,36.7537321814993,2021.0,11.0,0.0,0.0,0.0,0.25220037,-/0/
-0jwYO0cOJReRlk8l6F5kw,-1.274696406218451,37.04258753830321,2018.0,2.0,0.0,0.0,0.0,0.0,-/0/
-0kIgyJq1Qk70igS3Z8SbQ,-1.320034015851372,36.84822844718567,2021.0,7.0,0.0,0.0,0.40734687,0.0,-/0/
-0p-sNeAIU4xIDPji6jfPQ,-1.185660396266875,36.88046758549404,2021.0,9.0,0.0,0.0,0.0,0.0,-/0/
-0qUznWdO0ebGQWxgHJ-eA,-1.268619431734441,36.80532597968823,2021.0,7.0,0.0,0.0,0.0,0.6159507,-/0/
-0qlmfFiLPbg8pxTwDZWww,-1.157279543326534,36.82817458919902,2022.0,2.0,0.0,0.0,0.28233907,0.0,-/0/
-0rGMAwFS2Dcz6uvxUt_fg,-1.263205499008941,36.9036849376638,2018.0,2.0,0.0,0.0,0.0,0.0,-/0/
-0rYjaI6vKXzhd2QXwbxUQ,-1.328296493063722,36.84077887745001,2018.0,2.0,0.0,0.0,0.0,0.5525161,-/0/
-0v2gO-hq_5FCjB3HWKUyw,-1.275934930358262,36.99065566976158,2018.0,2.0,0.0,0.0,0.0,0.0,-/0/
-0vEtjmWJbYT7P0__VrH1Q,-1.322745176729538,36.8439923712216,2021.0,7.0,0.0,0.0,0.0,0.0,-/0/
-0wIGghq_wnmlSxQjvfs6Q,-1.260868273424994,36.73432770812977,2018.0,2.0,0.6342887,0.0,0.0,0.0,-/0/
-0xiIusmv4dy9bMxyAEy4Q,-1.204682150056798,36.77406647419505,2021.0,9.0,0.0,0.0,0.0,0.0,-/0/
-15kpIfLZBsk2Id15hmG0Q,-1.31820081820749,36.7159098108755,2021.0,8.0,0.0,0.36047718,0.0,0.0,-/1/
-17BE49M9f-tbbDIFUgjiQ,-1.222289308515703,36.92394026707675,2021.0,9.0,0.38241208,0.0,0.0,0.0,-/1/
-17z4myxat1ZOVCUAiMA5w,-1.311601982006637,36.80117322072975,2018.0,3.0,0.0,0.0,0.0,0.0,-/1/
-18e58Np-VHiouABuw6SQw,-1.255456817019173,37.09034947422489,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1ACbgGCoLMU_yiILUN5UA,-1.486408700588302,36.95289658927188,2022.0,3.0,0.0,0.0,0.0,0.26312715,-/1/
-1BKssXReDvf0SFBSsPEvw,-1.294193071914836,36.98064830261927,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
-1ClMWxgaj7JVOMpP8YmMg,-1.207424751316457,36.91100933980762,2021.0,9.0,0.0,0.0,0.0,0.0,-/1/
-1F2KdrDjZqpYr8GmS7rig,-1.285235697929871,36.70130858800031,2018.0,1.0,0.0,0.0,0.0,0.0,-/1/
-1GWYdUrPFiTs4FqbW_Ipw,-1.285079428951065,36.77026698083285,2017.0,12.0,0.4775492,0.40353584,0.46685722,0.40715373,-/1/
-1LC0N0L69YtUFFQx-vz9w,-1.165308490700218,36.64056875800586,2021.0,11.0,0.0,0.0,0.0,0.0,-/1/
-1M2cbI8eGIrQFINNcgQsQ,-1.249793153648201,36.92350034818288,2018.0,2.0,0.0,0.0,0.0,0.0,-/1/
