panoid,lat,lon,year,month,img_path,Yo,ang,LLM,img_name
-2QdlzZCwJEM1tO0AU9b4g,-1.274345985365857,36.88496583428761,2018.0,2.0,-/2/,0.37491527,0,1,-2QdlzZCwJEM1tO0AU9b4g_0
-4Rci70cakpla7qHAQ6RtA,-1.310624328407082,36.79156099313937,2021.0,7.0,-/4/,0.32726443,0,1,-4Rci70cakpla7qHAQ6RtA_0
-6SOXQcTZXuAv52dmWWkSw,-1.325439123842022,36.83593907438843,2021.0,7.0,-/6/,0.45628247,0,1,-6SOXQcTZXuAv52dmWWkSw_0
-HCPm9uGbTfUuFYP7S7WqA,-1.210993113204854,36.96157951403735,2021.0,9.0,-/H/,0.25939503,0,1,-HCPm9uGbTfUuFYP7S7WqA_0
-HEB_u_ZPk9mELxyAcCGNw,-1.286155283763885,36.89568109048312,2021.0,8.0,-/H/,0.48886982,0,1,-HEB_u_ZPk9mELxyAcCGNw_0
-Kejwouwvd70at49dYJVgg,-1.281419768325238,36.7433055657936,2021.0,8.0,-/K/,0.42492262,0,1,-Kejwouwvd70at49dYJVgg_0
-OjR3WPEUhW6OB5HNngjcg,-1.390962878566075,36.77202824910232,2022.0,2.0,-/O/,0.32319707,0,1,-OjR3WPEUhW6OB5HNngjcg_0
-bx_-St9uhJKyPIWnx_1Eg,-1.174543269182207,36.9066656229592,2018.0,2.0,-/B/,0.36869502,0,1,-bx_-St9uhJKyPIWnx_1Eg_0
-fIdeqQnC3nhsCHLa8umCg,-1.294162580753923,36.75292323551997,2018.0,1.0,-/f/,0.42294306,0,1,-fIdeqQnC3nhsCHLa8umCg_0
-tH1Ica74JjdmetA_1esPw,-1.251435338601286,36.79324377167973,2017.0,12.0,-/t/,0.28907615,0,1,-tH1Ica74JjdmetA_1esPw_0
09F9xuuYPvOlmrOJ_r3e0A,-1.285310791069056,37.06609923840784,2021.0,10.0,0/9/,0.43052864,0,1,09F9xuuYPvOlmrOJ_r3e0A_0
0NhW7tWqoccDUkFBtcu-Ug,-1.229445094238453,36.93020917297147,2018.0,2.0,0/N/,0.37304544,0,1,0NhW7tWqoccDUkFBtcu-Ug_0
0O0xlqE8WAechdgF_VxW-Q,-1.312963990312009,36.82949342169127,2021.0,8.0,0/O/,0.28385612,0,1,0O0xlqE8WAechdgF_VxW-Q_0
0RCmqz9GkmcAaAjnzHgOSg,-1.285917046181927,36.82122480595739,2017.0,12.0,0/r/,0.49598992,0,1,0RCmqz9GkmcAaAjnzHgOSg_0
0Rdo1RqvAXXa7REMIMQehg,-1.155356905257549,36.93378734443136,2021.0,12.0,0/r/,0.5586207,0,1,0Rdo1RqvAXXa7REMIMQehg_0
