panoid,lat,lon,year,month,img_path,angle,type,img_name,conf,bbox,LLM
--BNQhnmt2k8251gJb-Gxg,-1.271222027041508,36.84874436024599,2021,7,-/-/,90,GSVI,--BNQhnmt2k8251gJb-Gxg_90,[0.3128344714641571],"[[288.80560302734375, 218.25010681152344, 358.564208984375, 249.1153564453125]]",1.0
-0_gZvvTxCxbRNmGootr3g,-1.252538649644181,36.88337239230822,2018,2,-/0/,180,GSVI,-0_gZvvTxCxbRNmGootr3g_180,[0.7002795338630676],"[[173.82659912109375, 227.3277587890625, 399.5341491699219, 299.5201721191406]]",1.0
-0_gZvvTxCxbRNmGootr3g,-1.252538649644181,36.88337239230822,2018,2,-/0/,270,GSVI,-0_gZvvTxCxbRNmGootr3g_270,[0.8297085165977478],"[[0.0, 208.4928436279297, 165.0791473388672, 299.5797424316406]]",1.0
-2QdlzZCwJEM1tO0AU9b4g,-1.274345985365857,36.88496583428761,2018,2,-/2/,0,GSVI,-2QdlzZCwJEM1tO0AU9b4g_0,[0.7138413190841675],"[[241.2121124267578, 229.7406768798828, 397.0117492675781, 289.87078857421875]]",1.0
-4Rci70cakpla7qHAQ6RtA,-1.310624328407082,36.79156099313937,2021,7,-/4/,0,GSVI,-4Rci70cakpla7qHAQ6RtA_0,"[0.3516870439052582, 0.2669305205345154]","[[0.06390810012817383, 226.0287628173828, 32.791133880615234, 299.2852478027344], [219.97508239746094, 168.56890869140625, 279.6409606933594, 219.39578247070312]]",1.0
-4Rci70cakpla7qHAQ6RtA,-1.310624328407082,36.79156099313937,2021,7,-/4/,270,GSVI,-4Rci70cakpla7qHAQ6RtA_270,[0.6908725500106812],"[[14.858894348144531, 179.46922302246094, 396.7379455566406, 300.0]]",1.0
-BNGQMNz_uQkgCbgILDCoQ,-1.263405107273,36.93803932272713,2021,8,-/B/,270,GSVI,-BNGQMNz_uQkgCbgILDCoQ_270,[0.4708172678947449],"[[173.2657012939453, 206.22308349609375, 261.1455993652344, 240.16847229003906]]",1.0
-ET5ZczWid4aBYThEwALtA,-1.225849941780824,36.7043779093912,2021,8,-/e/,270,GSVI,-ET5ZczWid4aBYThEwALtA_270,[0.7528977990150452],"[[1.245880126953125, 163.79641723632812, 283.7706298828125, 299.3372802734375]]",1.0
-Ej4qnCpiEloNjviNv6LIw,-1.209923970081508,36.92695736853445,2021,9,-/e/,180,GSVI,-Ej4qnCpiEloNjviNv6LIw_180,[0.46513548493385315],"[[236.0992431640625, 199.4311065673828, 399.71990966796875, 299.0804748535156]]",1.0
-HCPm9uGbTfUuFYP7S7WqA,-1.210993113204854,36.96157951403735,2021,9,-/H/,0,GSVI,-HCPm9uGbTfUuFYP7S7WqA_0,[0.4411943256855011],"[[122.40727996826172, 221.80628967285156, 176.5787353515625, 258.20281982421875]]",1.0
-HEB_u_ZPk9mELxyAcCGNw,-1.286155283763885,36.89568109048312,2021,8,-/H/,0,GSVI,-HEB_u_ZPk9mELxyAcCGNw_0,[0.47357338666915894],"[[247.6604766845703, 167.94078063964844, 328.03790283203125, 208.5900115966797]]",1.0
-HJpIEyv0fgC1SarOiVFaw,-1.287972203334721,37.04545266159707,2021,10,-/H/,180,GSVI,-HJpIEyv0fgC1SarOiVFaw_180,[0.42429840564727783],"[[195.7745361328125, 191.85516357421875, 321.998779296875, 211.51580810546875]]",1.0
-IWRLSUH5z4_XZNFVKof6g,-1.263481488949969,36.86239294292968,2022,4,-/i/,180,GSVI,-IWRLSUH5z4_XZNFVKof6g_180,[0.7929555177688599],"[[228.60679626464844, 201.66732788085938, 399.10400390625, 256.41790771484375]]",1.0
-JvEB9rVMOr0ePTfuw2R-Q,-1.311957204971977,36.8884085851056,2021,8,-/j/,90,GSVI,-JvEB9rVMOr0ePTfuw2R-Q_90,[0.43450430035591125],"[[340.8147277832031, 165.41407775878906, 399.6596374511719, 202.890625]]",1.0
-Kejwouwvd70at49dYJVgg,-1.281419768325238,36.7433055657936,2021,8,-/K/,0,GSVI,-Kejwouwvd70at49dYJVgg_0,"[0.6076016426086426, 0.47432181239128113]","[[270.9939270019531, 145.1488800048828, 399.695556640625, 300.0], [267.779296875, 195.08140563964844, 400.0, 298.5888671875]]",1.0
-Kejwouwvd70at49dYJVgg,-1.281419768325238,36.7433055657936,2021,8,-/K/,90,GSVI,-Kejwouwvd70at49dYJVgg_90,[0.7237658500671387],"[[0.6206512451171875, 194.78656005859375, 276.4375915527344, 295.87908935546875]]",1.0
-R0XOSG69ObUes3VWorVhQ,-1.189954420797942,36.90788024539267,2021,9,-/r/,270,GSVI,-R0XOSG69ObUes3VWorVhQ_270,"[0.6215163469314575, 0.5670208930969238]","[[87.96894073486328, 181.06826782226562, 147.76290893554688, 207.1765899658203], [87.22222900390625, 175.2312774658203, 154.64175415039062, 209.25189208984375]]",1.0
-TnCL6bVocBewuqyMb_gaQ,-1.240151909023504,36.91396413126084,2018,2,-/t/,180,GSVI,-TnCL6bVocBewuqyMb_gaQ_180,[0.49270597100257874],"[[61.68386459350586, 218.0047607421875, 197.60574340820312, 278.6479187011719]]",1.0
-ZEozZkdUh_ssQ0Sc4SqjA,-1.248192300578441,36.89225903227902,2018,2,-/Z/,180,GSVI,-ZEozZkdUh_ssQ0Sc4SqjA_180,[0.6332941651344299],"[[161.21536254882812, 189.5606231689453, 393.4361877441406, 300.0]]",1.0
-_lRMizxNHJeTbUfAdQ-Pg,-1.290736705219348,36.97099542015796,2018,2,-/_/,180,GSVI,-_lRMizxNHJeTbUfAdQ-Pg_180,[0.46735742688179016],"[[225.2221221923828, 229.78273010253906, 307.0031433105469, 299.2261962890625]]",1.0
-bx_-St9uhJKyPIWnx_1Eg,-1.174543269182207,36.9066656229592,2018,2,-/B/,0,GSVI,-bx_-St9uhJKyPIWnx_1Eg_0,[0.49889180064201355],"[[330.9381103515625, 214.14569091796875, 399.840087890625, 258.2176513671875]]",1.0
-bx_-St9uhJKyPIWnx_1Eg,-1.174543269182207,36.9066656229592,2018,2,-/B/,90,GSVI,-bx_-St9uhJKyPIWnx_1Eg_90,"[0.5133326649665833, 0.30269232392311096]","[[53.29082489013672, 167.1888885498047, 111.11579895019531, 189.12374877929688], [0.11625289916992188, 224.22694396972656, 41.361183166503906, 258.52813720703125]]",1.0
-mHybUBNPoDu19SxYj0dnw,-1.270926824940448,36.84862808921113,2018,1,-/m/,90,GSVI,-mHybUBNPoDu19SxYj0dnw_90,[0.49819502234458923],"[[0.0, 176.51011657714844, 191.92568969726562, 218.79611206054688]]",1.0
-tH1Ica74JjdmetA_1esPw,-1.251435338601286,36.79324377167973,2017,12,-/t/,0,GSVI,-tH1Ica74JjdmetA_1esPw_0,[0.48078444600105286],"[[0.4523801803588867, 47.36166763305664, 56.60546112060547, 113.83179473876953]]",1.0
-waTQ7roLfFlV8wdTqovbA,-1.262139000033713,36.87881027086618,2018,2,-/w/,180,GSVI,-waTQ7roLfFlV8wdTqovbA_180,[0.5511837601661682],"[[4.661426544189453, 192.92666625976562, 202.5601348876953, 298.66473388671875]]",1.0
-wxfxJrXi5XoWGgZwYq5uA,-1.315380437350769,36.91377806560855,2021,7,-/w/,90,GSVI,-wxfxJrXi5XoWGgZwYq5uA_90,[0.8100758790969849],"[[198.96644592285156, 172.86514282226562, 323.861083984375, 227.2477264404297]]",1.0
