,panoid,lat,lon,year,month,img_path,angle,type,img_name,conf,bbox
0,IMG_7790,-1.3140888888888889,36.87233055555556,2023,2,Used/,,Self,IMG_7790,-1,-1
1,IMG_0799,-1.3660222222222222,36.76688333333333,2023,2,Used/,,Self,IMG_0799,[],[]
2,IMG_6303,-1.2518972222222222,36.82538611111112,2023,2,Used/,,Self,IMG_6303,[0.4785332679748535],"[[384.7498779296875, 2212.64599609375, 4032.0, 3021.783203125]]"
3,IMG_0772,-1.3467583333333333,36.765344444444445,2023,2,Used/,,Self,IMG_0772,[],[]
4,IMG_8448,-1.2797305555555556,37.04933611111111,2023,2,Used/,,Self,IMG_8448,[],[]
5,IMG_6465,-1.3069388888888889,36.78382222222222,2023,2,Used/,,Self,IMG_6465,[],[]
6,IMG_6471,-1.3064944444444444,36.78350833333333,2023,2,Used/,,Self,IMG_6471,[],[]
7,IMG_6317,-1.2280444444444445,36.80515277777778,2023,2,Used/,,Self,IMG_6317,[],[]
8,IMG_0766,-1.3427749999999998,36.76687222222222,2023,2,Used/,,Self,IMG_0766,[],[]
9,IMG_7009,-1.3421194444444444,36.767719444444445,2023,2,Used/,,Self,IMG_7009,[],[]
10,IMG_7021,-1.3370583333333332,36.77475277777778,2023,2,Used/,,Self,IMG_7021,[],[]
11,IMG_8312,-1.2645194444444443,36.98424166666667,2023,2,Used/,,Self,IMG_8312,[],[]
12,IMG_7747,-1.3150722222222222,36.87216111111111,2023,2,Used/,,Self,IMG_7747,[],[]
13,IMG_8474,-1.279736111111111,37.048788888888886,2023,2,Used/,,Self,IMG_8474,"[0.6306285262107849, 0.35508689284324646]","[[0.0, 2415.912353515625, 3441.830810546875, 3024.0], [327.1170349121094, 2435.4052734375, 4032.0, 3003.77392578125]]"
14,IMG_6459,-1.309036111111111,36.78270555555555,2023,2,Used/,,Self,IMG_6459,[],[]
15,IMG_8460,-1.281863888888889,37.06008611111111,2023,2,Used/,,Self,IMG_8460,[],[]
16,IMG_7035,-1.3156861111111111,36.78896666666667,2023,2,Used/,,Self,IMG_7035,[0.42672640085220337],"[[0.0, 1964.566650390625, 2074.377197265625, 2384.1171875]]"
17,IMG_8306,-1.2641694444444445,36.98248333333333,2023,2,Used/,,Self,IMG_8306,[],[]
18,IMG_8689,-1.2690027777777777,36.66056111111111,2023,2,Used/,,Self,IMG_8689,[],[]
19,IMG_8138,-1.3296805555555555,36.87144722222222,2023,2,Used/,,Self,IMG_8138,[],[]
20,IMG_8676,-1.2896027777777777,36.68384444444444,2023,2,Used/,,Self,IMG_8676,[],[]
21,IMG_8110,-1.321161111111111,36.84127777777778,2023,2,Used/,,Self,IMG_8110,[],[]
22,IMG_7223,-1.279288888888889,36.80681666666666,2023,2,Used/,,Self,IMG_7223,[],[]
23,IMG_8104,-1.3173638888888888,36.83488888888889,2023,2,Used/,,Self,IMG_8104,[],[]
24,IMG_7237,-1.278725,36.80363611111111,2023,2,Used/,,Self,IMG_7237,[],[]
25,IMG_8662,-1.3094222222222225,36.72746388888889,2023,2,Used/,,Self,IMG_8662,[],[]
26,IMG_7394,-1.2982333333333331,36.80170833333333,2023,2,Used/,,Self,IMG_7394,[],[]
27,IMG_7380,-1.297711111111111,36.80299444444445,2023,2,Used/,,Self,IMG_7380,[],[]
28,IMG_8058,-1.2973277777777776,36.80565555555555,2023,2,Used/,,Self,IMG_8058,[],[]
29,IMG_8702,-1.2401777777777778,36.66569444444444,2023,2,Used/,,Self,IMG_8702,[],[]
30,IMG_8064,-1.2960083333333332,36.808727777777776,2023,2,Used/,,Self,IMG_8064,[],[]
31,IMG_7357,-1.294311111111111,36.80016388888889,2023,2,Used/,,Self,IMG_7357,[],[]
32,IMG_8070,-1.2950722222222222,36.81259166666666,2023,2,Used/,,Self,IMG_8070,[],[]
33,IMG_7343,-1.2896416666666666,36.7981,2023,2,Used/,,Self,IMG_7343,[],[]
34,IMG_8716,-1.2214250000000002,36.66322777777778,2023,2,Used/,,Self,IMG_8716,[],[]
35,IMG_8299,-1.2657027777777778,36.98136111111111,2023,2,Used/,,Self,IMG_8299,[],[]
36,IMG_7814,-1.3126277777777775,36.87094444444445,2023,2,Used/,,Self,IMG_7814,[0.7073689699172974],"[[1410.309814453125, 2866.137939453125, 3024.0, 3622.160400390625]]"
37,IMG_7800,-1.312913888888889,36.87211666666667,2023,2,Used/,,Self,IMG_7800,[],[]
